TIC ID,CTOI,Promoted to TOI,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Radius (R_Earth),Radius (R_Earth) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,cTOI author,period_PHT,period err neg,period err pos,depth_PHT,planet_radius
5364106,5364106.01,,11.0866,0.009,139.231123,-20.676234,-8.213,0.07,13.641,0.083,2459259.215,0.004,,,6.4,1.739,0.174,1600,160,5.4,0.4,299.679,3.4145,5964,131.187,4.27302,0.0803521,1.26252,0.0622311,PHT,277.6,71.5,167.5,1823.470088,5.79
53843023,53843023.01,,10.3852,0.006,327.638875,-26.556512,9.312,0.073,-13.399,0.07,2458328.04,0.01,0,0,3.8,2.174,0.543,2000,500,3.7,2,92.1219,0.4299,4713,125.814,4.49053,0.094358,0.815268,0.0598116,PHT,202,189,272,1703.223618,5.14
5966772,5966772.01,,10.4795,0.006,193.398197,-23.119791,-55.084,0.091,-73.352,0.117,2459331.1,0.01,,,,1.304,0.271,1200,250,2.8,0.4,87.0611,0.41,4677,130.555,4.56264,0.0955044,0.750312,0.0567965,PHT,24.6,11.9,23.9,1823.470088,2.83
63698669,63698669.01,1892.01,9.9312,0.006,5.165323,-33.984476,67.063,0.062,-13.027,0.047,2458364.61,0.05,0,,7.5,1.086,0.543,1000,500,,,97.4697,0.375,5431,124.824,4.61475,0.0804396,0.795285,0.0424071,PHT,73.6,26.8,133.6,694.9668937,2.15
70887357,70887357.01,2008.01,8.64807,0.006,63.857632,-16.902144,47.551,0.054,-30.747,0.053,2458454.34,0.02,0,0,6.2,3.262,0.543,3000,500,10.7,2,139.212,0.7375,5609,127.425,3.85553,0.0810014,1.94771,0.102432,PHT,56.1,15.3,18.8,2976.351579,12.84
7422496,7422496.01,4189.01,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,0.05,0,,5.9,0.76,0.326,700,300,2.4,1,69.6026,0.1272,5744,117.134,4.56261,0.0761973,0.879321,0.0413869,PHT,61.4,16.7,49,716.1209025,2.44
81089255,81089255.01,,11.8409,0.006,122.694102,-43.853401,-12.784,0.044,19.85,0.045,2459260.207,0.004,,,4.3,5.115,0.652,4700,600,10.6,1,564.158,8.164,7459,134.564,4.36132,0.0824888,1.42847,0.0521105,PHT,8.54,2.79,8.65,557.4723546,10.68
82452140,82452140.01,2289.01,10.0011,0.006,255.097557,39.73025,4.347,0.057,74.99,0.049,2458964.29,0.01,20.32,0.2,,1.521,0.326,1400,300,2.95,0.4,139.616,0.6075,5717,124.297,4.43377,0.0752605,1.01496,0.0507136,PHT,21.1338,0.0052,0.0066,847.574459,2.95
88840705,88840705.01,2318.01,8.6512,0.008,262.589332,40.369465,17.54,2,-55.45,2,2459026.649,0.001,,,4.7,4.352,0.543,4000,500,,,45.0103,,4968,,,,0.844548,,PHT,260.6,87.6,142.2,4079.573811,9.98
91987762,91987762.01,1898.01,7.4098,0.006,144.5553,23.546746,-64.433,0.106,-41.485,0.093,2458894.255,0.02,0,,4.7,3.262,0.217,3000,200,9.5,2,79.6682,0.44,6303.91,141.811,4.11765,0.0924486,1.61034,0.079598,PHT,10.51,3.48,3.67,2966.004825,9.56
95768667,95768667.01,,9.79566,0.006,160.589156,21.771246,-20.161,0.075,-48.894,0.078,2458818.35,0.05,0,,4.5,1.086,0.217,1000,200,,,156.458,1.268,5994,127.228,4.35991,0.0785185,1.14964,0.0559296,PHT,26.9,12.4,72.3,909.6473191,3.54
98794593,98794593.01,,7.6909,0.006,45.333886,-17.229924,-30.267,0.074,78.73,0.093,2459169.317,0.005,,,10,0.395,0.054,364,50,3.2,0.5,86.3361,0.367,6206.45,111.202,4.13417,0.0779935,1.54783,0.0634623,PHT,78.9,22.1,36.6,1823.470088,3.22
333736132,333736132,,12.0742,0.006,170.276336,-26.066616,-43.452,0.059,-13.511,0.042,2459283.545,0.01,,,17.512254,1.086279,16000,1000,3,10.5,0.5,183.078,1.2805,4722,127.053,4.55866,0.0931376,0.756773,0.0555528,other,,,,,
334632624,334632624,4361.01,8.6661,0.006,141.347664,-15.922146,66.673,0.072,-59.705,0.077,2459262.07,0.02,,,7.626879,0.543004,7000,500,6.2,3.5,0.2,98.2063,0.44725,5944,125.143,4.30249,0.0780578,1.22039,0.0575729,other,,,,,
441546821,441546821,,7.7897,0.006,197.317124,-60.308435,-39.61,0.051,-20.132,0.056,2459339.053,0.02,,,5.11499,0.32577,4700,300,15,11,0.5,95.3906,0.4497,6613,125.704,4.23,0.0873709,1.4927,0.0646482,other,,,,,
453060368,453060368,,12.7964,0.016,145.897267,0.615029,-28.137,0.088,11.11,0.071,2459262.262,0.02,,,21.934811,1.086279,20000,1000,4,13.5,1,355.116,6.0045,5388.3,115.358,4.52564,0.0836987,0.87655,0.0562463,other,,,,,
237214311,237214311,,12.481,0.007,294.96949,74.687081,35.892,0.03,44.074,0.032,2458694.455,,37.5215,,17.910651,,16361,,8.473,16.85,,496.572,3.609,5818,126.171,4.29646,0.0743045,1.20614,0.058,other,,,,,
243278072,243278072,,12.7862,0.007,288.427287,59.948706,-6.565,0.026,-7.183,0.024,2458688.904,,26.6728,,19.199545,,17528,,4.7456,21.17,,837.815,8.215,6323,129.469,4.20384,0.0844022,1.4641,0.0688517,other,,,,,
91555165,91555165.01,2345.01,10.3759,0.006,43.884794,-34.977975,202.401,0.03,-104.353,0.04,2458382.885,0.004,1.05289,0.00014,0.493036,,454,,0.061,1.57,0.26,81.6541,0.16515,4621,125.488,4.54139,0.095621,0.758575,0.0576507,other,,,,,
165493409,165493409,,10.3836,0.006,180.445144,-36.446937,-29.868,0.049,-0.708,0.032,2458571.023,0.0026,9.112,0.002,5.837382,,5362,,0.215,15.94,3.52,338.284,4.177,6132,134.41,3.94665,0.0840218,1.89643,0.0911305,other,,,,,
231945429,231945429,,10.5757,0.006,94.142332,-44.637833,9.394,0.148,7.847,0.183,2458420.282,0.0014,30.46181,,5.374646,,4938,,0.124,27.21,31.71,462.189,16.2115,6458,127.066,3.89082,0.0900782,2.14912,0.122151,other,,,,,
382200986,382200986,4409.01,11.8911,0.006,81.818658,-54.946098,-6.307,0.05,17.58,0.047,2458243.916,0.0067,92.49514,0.00245,12.108079,,11090,,0.286,8.07,0.81,179.419,0.7355,4937,122.827,4.61752,0.0874033,0.732008,0.0451131,other,,,,,
25227021,25227021.01,,11.3306,0.008,326.953733,-19.954167,-23.223,0.084,-25.638,0.088,2459080.521,,,,9.837776,,9020,,10.992,13.979,,369.694,6.653,6052,120.476,4.2326,0.0752815,1.3467,0.061897,other,,,,,
141428309,141428309,,11.394,0.006,84.678927,-72.812689,14.153,0.036,26.913,0.048,2459040.899,,,,13.987133,,12800,,9.6,,,293.841,2.0255,5936,135.908,4.38311,0.0806283,1.10711,0.0534322,other,,,,,
224279805,224279805,,12.1454,0.006,355.738475,-40.772227,-29.153,0.047,-12.225,0.063,2459105.228,0.014,,,7.856515,1.281925,7210,1180,5.808,11.1215,0.87567,424.084,8.696,5591.2,123.703,4.27654,0.0800525,1.19834,0.0662412,other,,,,,
279401253,279401253,,11.2625,0.007,57.657228,-15.026225,26.853,0.049,-26.54,0.035,2459151.042,0.013,,,9.574859,0.347491,8780,320,4.272,11.542,0.208,285.584,2.764,5859,125.434,4.35954,0.0799113,1.12699,0.0550855,other,,,,,
313891529,313891529,2424.01,10.2845,0.007,0.315071,-28.493223,20.554,0.072,-1.25,0.054,2459092.276,0.008,,,8.129955,0.054288,7460,50,5.208,,,410.945,9.2965,6173.5,130.305,3.76326,0.0854544,2.36235,0.127678,other,,,,,
386131764,386131764,2633.01,11.6886,0.011,111.590401,-13.925637,-4.879,0.065,1.001,0.058,2459253.582,0,,,3.616382,0.240235,3325.27,221.24,2.4,10.53,0.34,746.036,26.107,7811,143.047,4.25974,0.0792241,1.67013,0.0747588,other,,,,,
814205011,814205011,,10.7341,0.008,137.0352,-52.148757,-14.723,0.066,15.711,0.061,2459265.474,0.0104,,,4.639129,0.112206,4263.68,103.34,4.33,11.47,0.14,515.592,9.0315,10314,375.134,4.44909,0.0745421,1.60735,0.0672161,other,,,,,
20299658,20299658.01,2536.01,12.7022,0.006,90.963936,-39.546448,4.166,1.172,3.286,1.172,2458455.736,0.00669,31.989,0.012,,,,,,,,631.951,,,,,,,,other,,,,,
237922465,237922465,2416.01,12.4333,0.006,57.338941,-60.787186,8.644,0.035,-10.165,0.041,2458409.141,0.00096,8.27603,0.00034,0.754849,0.048859,695,45,,,,557.733,5.9985,5640.1,121.966,4.15247,0.0772388,1.38931,0.0735276,other,,,,,
279070369,279070369,,12.4466,0.007,49.886583,-1.237934,3.813,0.052,-13.775,0.057,2458416.537,0.0026,,,8.830274,0.434381,8100,400,,,,543.41,10.458,5872,128.233,4.25052,0.0804508,1.27769,0.0653065,other,,,,,
290403522,290403522,,10.2912,0.006,330.958061,-72.44083,15.058,0.058,-16.916,0.066,2458346.564,0.0025083,22.37522149,8.46E-05,6.643273,0.217169,6100,200,,,,290.48,3.326,6613,135.008,4.24236,0.0914832,1.47161,0.0672739,other,,,,,
308211363,308211363,,12.0398,0.007,198.154162,-17.869118,-10.647,0.074,-4.733,0.062,2458580.389,0.0024,,,16.299202,0.543004,14900,500,,,,243.943,2.792,5132,115.896,4.49209,0.0811385,0.876489,0.0492463,other,,,,,
349972412,349972412,,12.5542,0.006,114.467307,-62.078278,-8.658,0.026,-8.319,0.03,2458401.398,0.00548175,81.8346,0.0056273,9.487235,1.086279,8700,1000,,,,342.605,1.707,5271,130.36,4.42694,0.0814877,0.960919,0.0548341,other,,,,,
