TIC ID,CTOI,Promoted to TOI,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Radius (R_Earth),Radius (R_Earth) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,cTOI author,period_PHT,period err neg,period err pos,depth_PHT,planet_radius
264544388,264544388,1893.01,8.43389,0.006,326.438392,79.613939,23.5,0.045,18.487,0.047,2458824.8,,0,,15,0.543,0.109,500,100,3.5,1,134.912,0.4745,6996,129.479,4.29542,0.0844643,1.46151,0.0554825,PHT,7030,6260,3330,735.5133504,4.58
264766922,264766922,,10.174,0.006,117.247667,-58.363904,-4.4,3.1,14.2,2.9,2458538.695,0.001,,,2.7,6.862,0.434,6300,400,16,2,339.041,,6913,,,,1.65965,,PHT,3.28,0.94,1.25,7213.487471,16.95
26547036,26547036.01,2010.01,9.26693,0.006,292.166942,53.487369,40.519,0.067,11.106,0.066,2458712.3,0.01,0,0,8.5,10.912,2.174,10000,2000,11,1,109.19,0.321,5842,129.228,4.39929,0.0793101,1.07352,0.0529397,PHT,73,13.6,16.5,11637.01753,11.75
267542728,267542728,,10.2521,0.007,289.533965,75.202095,-7.907,0.042,0.547,0.044,2458708.49,0.013,39.74,0.003,24.05,,,,,18.62,1.9,475.432,5.8215,4683,122,,,4.88886,,PHT,39.7382,35,42.349,1308.214181,18.46
268534931,268534931,,12.2215,0.006,15.126364,-23.179558,40.197,0.063,-6.035,0.047,2459139.101,0.004,,,7.1,5.14,0.434,4723,400,,,246.141,2.112,5179,117.958,4.60205,0.0828025,0.776693,0.0442312,PHT,106.29,39,202,4680.451902,5.8553098
273418421,273418421,4358.01,8.9077,0.006,344.124307,-76.797679,-180.288,0.037,34.75,0.039,2458681.577,0.004,43.38,,5.3,0.63,0.06,580,55,2.2,0.15,66.1798,0.09645,5577,129.148,4.59778,0.0829991,0.823673,0.0432362,PHT,43.38397,0.00061,0.00061,557.4723546,2.17
274599700,274599700,2317.01,11.8831,0.007,255.328342,51.529396,-27.478,0.037,19.344,0.037,2459002.12,0.003,32.98,0.01,8.2,8.721,1.086,8000,1000,13.3,0.9,448.143,3.98,5635.75,143.237,4.12397,0.0865629,1.43565,0.0839045,PHT,32.9754,0.005,0.005,7751.987293,13.25
278990954,278990954,,10.1864,0.006,102.010404,-58.137496,0.96,0.04,-20.267,0.041,2458650.02,0.01,0,,10.4,1.63,0.271,1500,250,9.4,1.3,360.715,3.017,5760.57,127.034,3.63118,0.076643,2.56959,0.13411,PHT,18.45,8.66,230.7,1321.861755,9.65
280031353,280031353,,11.8231,0.006,297.416187,68.883354,17.488,0.038,2.292,0.046,2459398.736,0.003,,,17.4,10.802,0.543,9900,500,8.6,0.6,221.705,1.0125,5607,158.447,4.63178,0.076559,0.796892,0.0411759,PHT,1351,269,352,1823.470088,8.62
280865159,280865159,1894.01,10.7519,0.021,100.798591,-78.281094,39.23,2,56.87,2,2458387.08,,0,,12,2.174,0.543,2000,500,,,178.372,,5611,,,,1.0692,,PHT,1045,249,536,1963.714878,4.75
284361752,284361752,2294.01,9.78288,0.006,288.108567,54.640427,17.354,0.044,-14.284,0.042,2459032.093,0.008,,,10,0.728,0.087,670,80,3.6,0.3,191.396,0.7605,6424,132.667,4.33722,0.088365,1.27808,0.0580779,PHT,140.6,46.6,159.1,747.5918526,3.62
288240183,288240183,,9.0124,0.006,224.850622,83.327853,-52.93,2,25.36,2,2458896.938,0.006,119.05,0.01,18.4,,,,,4.5,0.4,132.548,,6316,,,,1.38446,,PHT,119.0502,0.0091,0.0089,848.643867,4.28
29169215,29169215.01,,10.7314,0.006,135.324512,47.452351,4.639,0.057,-12.946,0.046,2458872.505,0.004,,,3.5,1.76,0.299,1620,275,,,69.0641,0.1898,4092.4,121.248,4.49983,0.109724,0.74509,0.0683819,PHT,14.89,6.12,24.84,1834.422269,3.28
292202337,292202337,,9.046,0.006,230.887224,-25.370615,-21.417,0.091,29.471,0.076,2458619.208,0.001,,,4.2,1.951,0.087,1795,80,4.57,0.25,85.3751,0.6195,5666,125.63,4.46984,0.0776763,0.968886,0.0494145,PHT,27.75,3.7,3.62,1823.470088,4.47
293649602,293649602,,10.1722,0.006,97.643814,-46.511124,23.7,2.1,11.4,2,2458511.2,0.01,0,,4,2.174,0.543,2000,500,4.4,1,164.32,,5596,,,,1.06356,,PHT,12.85,5.34,42.21,1792.376516,4.66
298663873,298663873,2180.01,8.56854,0.006,277.94363,56.650679,-10.536,0.043,-40.204,0.037,2458830.79,0.05,0,,23.3,4.352,0.543,4000,500,10,2,116.685,0.2665,5739,129.475,4.02569,0.0736056,1.62762,0.0825628,PHT,479.9,89.4,109.4,4535.880358,11.07
303050301,303050301,,9.3986,0.006,351.278507,-28.748669,-25.85,0.306,-12.506,0.092,2458366.12,0.05,0,,8,3.262,1.086,3000,1000,,,90.711,0.53005,5684,122.422,4.56342,0.0725643,0.869926,0.0432638,PHT,281,170,264,2674.932811,4.85
303317324,303317324,4310.01,9.4961,0.006,351.903531,-25.508462,-33.704,0.119,-87.513,0.069,2458365.19,0.01,,,,1.63,0.543,1500,500,,,40.0268,0.08675,4159,127.589,4.53501,0.109622,0.721084,0.0692336,PHT,69,25.5,78.1,1472.792361,2.88
303586471,303586471,4326.01,7.7158,0.006,351.988437,-26.454622,145.862,0.091,-44.339,0.083,2458363.77,0.02,17.58,0.5,4.21,0.543,0.109,500,100,,,57.7233,0.1657,6034.49,111.364,4.42122,0.0734804,1.07903,0.0455201,PHT,13.85,4.19,18.2,521.5190497,2.52
304142124,304142124,1793.01,7.8436,0.006,164.856336,-56.623556,-416.88,0.083,-119.71,0.075,2458585.282,,0,,5.6,2.174,0.543,2000,500,5.5,1,36.9941,0.0688,5167.22,109.53,4.5011,0.0769711,0.867451,0.044593,PHT,42.8,10,18.2,2294.421482,4.1
304339227,304339227,,8.6577,0.006,275.943112,-68.34495,-63.515,0.035,-14.805,0.048,2458673.33,0.01,0,0,5.6,0.543,0.217,500,200,3,1,92.0015,0.24925,6012,121.697,4.38049,0.0785569,1.12577,0.0506985,PHT,111.9,72.2,4844.1,689.6320685,3.27
307958020,307958020,,8.3498,0.006,256.843102,62.475548,-23.056,0.046,-67.019,0.046,2458864.82,0.05,0,0,10,0.543,0.217,500,200,3.5,2,95.2016,0.23835,5490.04,148.457,4.02198,0.0885438,1.5819,0.0978291,PHT,169,107,10194,523.5836599,3.92
308301091,308301091,,9.82897,0.006,267.86727,24.811367,-7.327,0.034,-6.216,0.048,2459030.369,0.003,,,6.6,1.412,0.109,1300,100,5.4,0.3,221.682,1.322,6665.36,142.818,4.31091,0.0961594,1.37318,0.0683869,PHT,29.24,8.49,22.46,1404.536008,5.41
313006381,313006381,,8.7551,0.006,137.524773,75.610842,52.96,0.046,-9.187,0.044,2458705.687,0.008,,,3.83,0.739,0.157,680,145,,,62.2978,0.089,5614,125.01,4.60434,0.0792344,0.821642,0.0412814,PHT,21.56,8.9,54.15,777.9309069,2.34
318812447,318812447,2634.01,10.9648,0.006,41.036551,3.910232,33.8,1.9,-15.8,1.9,2459147.134,0.005,,,4.8,4.57,1.086,4200,1000,6.8,1,155.755,,5349.16,,,,0.95524,,PHT,25.34,9.14,50.46,557.4723546,6.8
323295479,323295479,1861.01,9.9486,0.006,130.80013,-83.061258,41.562,0.043,-59.759,0.036,2458622.93,0.01,,,6.3,8.721,1.086,8000,1000,,,135.758,0.426,5684,135.375,4.39085,0.0785327,1.06113,0.0552212,PHT,117.8,25.8,30.9,8693.878945,11.35
324609409,324609409,,11.1163,0.006,312.694044,-81.272398,38.861,0.037,-22.583,0.036,2459378.419,0.002,,,11,6.632,0.402,6090,370,11.6,0.6,312.903,2.416,6047,124.546,4.21587,0.0777621,1.36681,0.0608467,PHT,146.7,49.4,65.4,1823.470088,11.61
